Symbol	h1u0hetero	h1u10hetero	h1u100hetero	h1u500hetero
symb3master_1	12.61	12.04	11.50	12.56
symb3master_2	5.65	5.62	6.32	6.33
symb3master_3	10.71	11.48	11.65	11.95
symb3master_4	77.30	77.63	79.45	83.32
symb3master_5	8.15	8.55	8.54	8.22
symb3master_6	32.71	30.56	33.38	33.14
symb3master_7	8.94	9.68	13.20	12.37
symb3master_8	7.77	7.99	7.33	7.32
symb3master_9	80.43	82.68	115.50	99.25
symb3master_10	83.76	78.15	107.68	110.96
symb3master_11	155.60	115.76	159.00	224.49
symb3master_12	52.75	51.28	51.76	51.09
symb3master_13	8.78	8.67	8.10	8.54
symb3master_14	234.02	239.62	252.47	242.35
symb3master_15	719.17	710.51	683.77	674.65
symb3master_16	24.96	24.10	25.59	25.57
symb3master_17	23.97	26.83	24.25	24.20
symb3master_18	6.76	6.56	5.60	6.22
symb3master_19	23.16	22.69	24.32	23.63
symb3master_20	37.55	36.95	41.44	42.56
symb3master_21	19.30	20.50	19.00	19.28
symb3master_22	45.89	43.56	41.85	44.53
symb3master_23	102.07	105.60	101.17	100.93
symb3master_24	80.38	85.42	78.25	75.08
symb3master_25	135.09	139.15	151.00	147.89
symb3master_26	35.83	36.14	36.56	37.57
symb3master_27	17.71	14.77	13.59	14.16
symb3master_28	16.23	19.87	20.21	20.00
symb3master_29	12.24	12.02	10.04	9.29
symb3master_30	16.81	18.54	19.08	19.06
symb3master_31	86.80	96.16	91.19	87.33
symb3master_32	29.85	30.56	31.68	31.95
symb3master_33	94.40	95.42	85.52	84.86
symb3master_34	13.27	13.34	13.69	13.27
symb3master_35	1.28	1.24	1.03	1.28
symb3master_36	0.44	0.40	0.66	0.38
symb3master_37	16.95	15.69	19.04	21.02
symb3master_38	4.58	5.31	5.49	5.28
symb3master_39	9.03	8.63	8.45	8.34
symb3master_40	20.67	20.83	19.22	18.37
symb3master_41	5.26	5.99	6.51	6.28
symb3master_42	23.26	23.12	21.34	21.72
symb3master_43	21.36	21.44	20.56	20.43
symb3master_44	14.16	14.30	12.09	13.81
symb3master_45	40.66	43.06	48.68	46.50
symb3master_46	49.33	48.07	51.60	48.05
symb3master_47	35.71	36.89	34.19	32.50
symb3master_48	45.48	53.70	54.44	54.68
symb3master_49	28.06	27.51	29.17	28.08
symb3master_50	8.18	8.29	7.60	7.90
symb3master_51	20.11	20.82	20.21	19.89
symb3master_52	70.89	71.14	71.03	69.79
symb3master_53	38.43	37.75	37.88	37.16
symb3master_54	5.95	5.71	5.94	6.06
symb3master_55	15.03	16.83	23.67	21.10
symb3master_56	81.41	78.38	82.90	85.26
symb3master_57	13.99	14.41	14.69	14.15
symb3master_58	60.80	58.87	64.33	67.17
symb3master_60	74.35	74.03	74.00	72.91
symb3master_61	203.31	203.41	234.33	218.98
symb3master_62	15.62	16.23	15.05	15.35
symb3master_63	3.39	3.56	4.01	3.52
