Symbol	h1u0hetero	h1u10hetero	h1u100hetero	h1u500hetero
symb3master_64	12.49	12.88	13.45	14.54
symb3master_65	5.08	4.86	4.18	4.49
symb3master_66	16.84	18.06	17.48	17.21
symb3master_67	14.08	14.81	14.99	14.90
symb3master_68	0.81	1.12	0.71	1.02
symb3master_69	0.64	0.51	0.61	0.65
symb3master_70	16.49	14.54	16.74	18.12
symb3master_71	6.09	6.17	5.34	5.47
symb3master_72	9.72	9.70	10.49	10.76
symb3master_73	38.88	36.65	43.62	39.00
symb3master_74	170.54	166.49	185.53	184.74
symb3master_75	14.46	13.99	12.06	13.71
symb3master_76	6.66	6.01	7.02	7.30
symb3master_77	27.49	28.20	27.81	29.21
symb3master_78	4.09	3.85	3.60	3.90
symb3master_79	17.32	16.29	17.04	18.33
symb3master_80	27.12	26.29	26.96	28.34
symb3master_81	20.11	20.50	20.01	19.75
symb3master_82	35.13	33.45	33.30	32.37
symb3master_83	8.45	8.06	8.01	7.23
symb3master_84	5.21	5.74	5.60	5.58
symb3master_85	5.85	6.23	5.63	5.83
symb3master_86	25.80	25.94	28.49	27.22
symb3master_87	151.59	160.70	154.35	154.98
symb3master_88	68.65	69.74	78.70	77.12
symb3master_89	675.49	602.40	747.71	829.97
symb3master_90	15.31	18.31	18.90	18.52
symb3master_91	231.37	223.66	218.34	217.16
symb3master_92	49.60	55.24	45.14	44.07
symb3master_93	30.26	29.08	26.75	27.00
symb3master_94	2.44	2.24	2.32	2.38
symb3master_95	15.01	19.28	19.43	19.75
symb3master_96	13.12	12.07	13.82	13.69
symb3master_97	20.75	19.71	19.51	20.63
symb3master_98	11.64	11.46	11.37	11.57
symb3master_99	72.75	71.27	70.41	75.24
symb3master_100	29.92	30.58	32.50	31.29
symb3master_101	22.92	22.11	25.12	24.39
symb3master_102	5.60	5.44	5.39	6.32
symb3master_103	105.39	101.18	105.93	107.89
symb3master_104	47.62	45.77	46.72	47.13
symb3master_105	70.71	68.09	68.58	67.47
symb3master_106	28.70	27.26	28.66	27.97
symb3master_107	32.85	33.83	33.03	34.19
symb3master_108	47.37	42.83	40.09	39.80
symb3master_109	34.48	37.52	36.69	35.96
symb3master_110	13.47	13.17	11.90	11.98
symb3master_111	19.75	20.12	18.43	18.12
symb3master_112	0.08	0.07	0.10	0.10
symb3master_113	11.33	11.03	11.54	12.32
symb3master_114	20.20	21.89	21.59	19.70
symb3master_115	28.18	27.22	27.53	28.24
symb3master_116	21.10	19.97	22.25	22.62
symb3master_117	15.08	14.14	15.80	15.19
symb3master_118	99.97	101.25	109.76	105.59
symb3master_119	12.61	11.52	12.37	13.87
symb3master_120	7.62	7.51	7.28	7.40
symb3master_121	19.30	19.17	18.60	18.55
symb3master_122	15.68	16.94	16.38	15.49
symb3master_123	17.90	18.50	19.15	17.96
symb3master_124	8.01	8.24	7.28	7.46
symb3master_125	21.38	20.59	21.01	20.08
symb3master_126	48.42	51.24	58.50	54.52
symb3master_127	10.05	11.09	12.57	11.51
symb3master_128	26.73	24.39	21.78	22.61
symb3master_129	36.79	38.12	41.68	41.13
symb3master_130	32.79	32.50	35.32	38.84
symb3master_131	26.86	28.49	25.49	20.95
symb3master_132	19.11	19.99	20.00	20.38
symb3master_133	34.85	36.92	36.94	36.78
symb3master_134	19.46	20.73	18.75	19.17
symb3master_135	64.63	74.40	82.87	84.18
symb3master_136	147.84	142.93	133.92	131.75
symb3master_137	59.08	56.52	55.10	55.28
symb3master_138	24.66	25.39	24.24	25.43
symb3master_139	54.09	54.35	54.44	49.48
symb3master_140	8.61	9.45	8.43	8.56
symb3master_141	11.79	11.79	11.01	10.75
symb3master_142	35.34	34.92	34.69	36.76
symb3master_143	9.11	10.51	11.57	9.29
symb3master_144	17.14	18.20	18.50	18.13
symb3master_145	25.84	25.32	24.29	23.73
symb3master_146	12.76	12.15	12.54	13.09
symb3master_147	27.75	28.78	32.79	28.46
symb3master_148	32.83	32.26	34.26	36.01
symb3master_149	26.15	25.31	23.57	23.85
symb3master_150	10.42	10.70	9.41	10.79
symb3master_151	19.87	21.11	20.46	19.63
symb3master_152	11.63	11.83	10.23	11.32
symb3master_153	20.65	19.76	18.08	16.48
symb3master_154	18.62	18.30	18.15	17.87
symb3master_155	25.72	25.62	26.06	27.56
symb3master_156	9.35	10.24	10.74	9.41
symb3master_157	32.24	29.86	30.60	33.32
symb3master_158	67.12	64.39	67.89	66.69
symb3master_159	27.95	28.22	30.81	29.16
symb3master_160	2.72	2.86	2.97	2.89
symb3master_161	15.87	14.93	12.06	15.50
symb3master_162	2.97	3.46	3.81	2.47
symb3master_163	7.57	7.04	6.79	7.43
symb3master_164	9.41	9.05	9.78	10.28
symb3master_165	23.57	22.49	24.42	24.91
symb3master_166	114.26	112.66	112.38	118.30
symb3master_167	5.73	5.96	5.81	6.50
symb3master_168	11.60	12.27	11.76	11.79
symb3master_169	62.22	65.47	73.02	72.53
symb3master_170	16.33	16.19	14.95	15.59
symb3master_171	3.86	4.77	4.32	3.51
symb3master_172	38.03	41.43	54.27	53.53
symb3master_173	5.86	5.47	5.48	4.70
symb3master_174	2.53	2.44	2.12	2.58
symb3master_175	4.84	4.82	4.74	4.38
symb3master_176	45.30	43.44	41.58	42.58
symb3master_177	16.25	15.04	15.68	15.46
symb3master_178	22.30	22.05	19.91	19.60
symb3master_179	31.70	30.84	32.47	35.59
symb3master_180	14.29	15.07	16.11	15.39
symb3master_181	17.75	15.04	14.67	17.13
symb3master_182	50.23	50.12	47.34	47.96
symb3master_183	14.86	13.64	12.34	12.16
symb3master_184	19.02	18.52	19.21	18.42
symb3master_185	8.47	8.92	10.25	10.32
symb3master_186	30.50	29.53	31.64	31.76
symb3master_187	25.19	22.67	22.31	20.22
symb3master_188	14.58	15.02	14.00	14.58
symb3master_189	10.28	9.91	10.39	8.78
symb3master_190	42.58	39.29	39.79	38.05
symb3master_191	19.17	18.99	20.72	18.96
symb3master_192	21.69	21.23	19.01	19.20
symb3master_193	23.55	23.42	21.33	21.59
symb3master_194	18.07	17.80	17.39	17.82
symb3master_195	25.73	26.46	24.78	23.84
symb3master_196	26.83	27.12	29.19	28.98
symb3master_197	12.31	13.74	12.82	12.41
symb3master_198	38.02	34.53	35.71	37.65
symb3master_199	5.05	4.77	4.23	4.14
symb3master_200	48.90	50.05	52.88	54.32
symb3master_201	7.32	6.73	5.56	6.63
symb3master_202	37.52	37.13	35.32	36.48
symb3master_203	19.69	18.07	17.24	19.13
symb3master_204	24.62	22.24	17.63	22.71
symb3master_205	37.04	38.78	37.67	39.93
symb3master_206	18.68	20.09	19.14	19.43
symb3master_207	45.03	44.35	48.29	50.57
symb3master_208	10.88	9.95	10.40	11.22
symb3master_209	38.93	39.88	40.17	42.53
symb3master_210	11.79	11.05	11.43	10.09
symb3master_211	12.98	11.04	12.04	11.81
symb3master_212	21.77	23.95	27.84	24.60
symb3master_213	12.27	13.05	12.82	11.54
symb3master_214	43.67	44.37	43.22	45.09
symb3master_215	9.48	10.32	11.09	11.64
symb3master_216	31.79	34.48	36.32	39.60
symb3master_217	10.57	10.14	10.36	10.29
symb3master_218	19.15	18.18	16.30	15.30
symb3master_219	17.80	16.41	15.96	14.79
symb3master_220	16.39	19.48	17.67	17.42
symb3master_221	15.34	15.77	18.71	18.36
symb3master_222	54.75	54.44	56.50	58.37
symb3master_223	7.86	7.19	7.36	7.10
symb3master_224	10.37	9.63	10.45	11.01
symb3master_225	3.98	4.26	7.70	7.99
symb3master_226	148.08	146.59	159.11	162.03
symb3master_227	14.55	14.94	15.03	14.79
symb3master_228	43.26	43.35	41.66	41.92
symb3master_229	9.12	9.20	9.62	9.30
symb3master_230	7.51	8.33	7.40	7.55
symb3master_231	18.16	19.04	19.85	18.72
symb3master_232	7.42	5.37	6.72	7.38
symb3master_233	30.87	31.15	29.69	27.59
symb3master_234	20.77	19.81	18.59	18.53
symb3master_235	5.19	4.80	5.24	4.92
symb3master_236	100.69	101.50	111.08	109.46
symb3master_237	10.74	10.29	9.38	9.87
symb3master_238	504.74	492.10	623.13	747.14
symb3master_239	5.79	5.45	4.65	5.84
symb3master_240	11.73	12.60	12.58	12.59
symb3master_241	7.00	6.61	6.89	7.64
symb3master_242	5.67	5.31	5.00	5.00
symb3master_243	16.45	16.04	15.43	15.39
symb3master_244	3.02	2.97	3.08	2.51
symb3master_245	35.50	37.33	37.43	37.31
symb3master_246	5.28	7.22	7.28	6.83
symb3master_247	43.33	44.78	54.04	53.30
symb3master_248	14.48	14.62	14.21	14.42
symb3master_249	27.70	29.84	29.59	27.78
symb3master_250	37.37	34.49	38.53	39.99
symb3master_251	228.36	221.33	240.29	229.21
symb3master_252	18.82	19.22	22.20	21.65
symb3master_253	32.45	31.43	33.07	32.52
symb3master_254	24.66	25.97	24.17	23.93
symb3master_255	0.95	0.94	0.97	0.63
symb3master_256	21.28	22.15	22.44	21.71
symb3master_257	33.38	30.84	36.90	39.03
symb3master_258	8.56	8.73	7.80	7.56
symb3master_259	13.74	14.01	13.51	12.90
symb3master_260	22.56	23.68	22.82	21.39
symb3master_261	18.96	17.75	18.77	20.07
symb3master_262	8.20	7.69	7.67	6.87
symb3master_263	14.39	13.87	14.18	15.16
symb3master_264	14.90	15.16	16.27	15.22
symb3master_265	25.94	25.21	23.85	23.70
symb3master_266	11.93	11.40	11.90	12.84
symb3master_267	36.28	39.12	38.46	38.14
symb3master_268	49.34	44.66	41.60	41.54
symb3master_269	72.00	76.73	71.45	68.03
symb3master_270	21.22	21.21	22.02	22.40
symb3master_271	13.05	13.41	13.26	13.27
symb3master_272	30.35	30.62	28.03	26.78
symb3master_273	17.82	17.84	19.40	19.03
symb3master_274	14.21	15.29	15.39	14.55
symb3master_275	12.28	12.31	12.97	11.90
symb3master_276	63.11	65.86	67.45	68.55
symb3master_277	1.10	0.94	1.30	0.80
symb3master_278	12.98	12.49	12.61	12.21
symb3master_279	2.03	1.96	1.84	1.80
symb3master_280	0.00	0.08	0.00	0.11
symb3master_281	1.24	1.54	0.96	1.47
symb3master_282	40.36	42.00	39.52	39.51
symb3master_283	23.72	24.63	23.42	23.41
symb3master_284	36.58	35.53	36.43	36.32
symb3master_285	7.16	7.74	8.63	8.26
symb3master_286	20.73	21.61	22.53	23.17
symb3master_288	397.79	373.52	380.63	373.54
symb3master_289	8.39	7.75	8.36	7.94
symb3master_290	14.14	14.03	13.55	13.71
symb3master_291	22.22	19.28	21.36	20.89
symb3master_292	5.35	5.16	4.75	4.61
symb3master_293	7.21	6.71	7.50	7.42
symb3master_294	7.65	7.27	6.71	7.25
symb3master_295	9.55	9.25	6.50	7.03
symb3master_296	22.59	20.55	18.68	19.71
symb3master_297	3.02	3.34	3.45	2.90
symb3master_298	91.19	94.57	105.94	104.16
symb3master_299	0.14	0.28	0.19	0.29
symb3master_300	11.45	11.67	11.51	11.77
symb3master_301	12.00	12.21	11.17	11.29
symb3master_302	36.65	37.80	36.51	35.92
symb3master_303	8.57	9.28	7.46	8.17
symb3master_304	6.59	6.36	6.27	6.82
symb3master_305	57.63	60.17	56.12	56.02
symb3master_306	5.71	5.60	5.47	5.74
symb3master_307	5.70	5.35	4.90	5.28
symb3master_308	66.14	65.58	64.53	61.91
symb3master_309	67.23	57.58	61.80	62.34
symb3master_310	243.14	227.11	221.36	225.48
symb3master_311	45.67	47.01	43.20	41.91
symb3master_312	12.54	11.92	12.44	12.13
symb3master_313	12.40	12.54	12.32	13.09
symb3master_314	16.98	18.19	18.32	18.47
symb3master_315	21.09	21.00	16.97	16.77
symb3master_316	29.59	28.49	28.94	29.58
symb3master_317	21.11	20.92	17.77	18.85
symb3master_318	7.05	6.62	6.36	5.81
symb3master_319	14.52	14.58	12.91	12.77
symb3master_320	7.44	6.32	6.23	5.99
symb3master_321	5.37	5.11	5.64	4.82
symb3master_322	27.60	30.14	29.56	27.65
symb3master_323	8.27	8.03	7.58	6.73
symb3master_324	30.47	29.51	27.67	24.93
symb3master_325	68.32	67.86	67.13	62.51
symb3master_326	312.56	289.67	280.89	258.60
symb3master_327	40.99	40.94	39.01	38.81
symb3master_328	7.29	6.95	7.40	7.41
symb3master_329	39.14	39.45	40.47	40.61
symb3master_330	67.13	64.82	69.70	65.97
symb3master_331	87.76	86.38	91.65	91.26
symb3master_332	13.65	13.78	12.92	13.69
symb3master_333	31.98	31.55	30.48	30.60
symb3master_334	17.04	15.81	14.14	15.34
symb3master_335	51.67	54.67	61.01	57.03
symb3master_336	12.35	12.66	12.27	12.70
symb3master_337	16.64	16.44	18.44	19.67
symb3master_338	14.28	13.57	13.78	15.39
symb3master_339	12.31	12.40	10.97	11.10
symb3master_340	354.53	345.49	322.29	323.10
symb3master_341	61.36	65.69	71.52	67.70
symb3master_342	57.98	61.57	66.47	66.46
symb3master_343	90.43	88.80	95.98	96.01
symb3master_344	24.18	24.31	24.65	25.44
symb3master_345	26.70	25.02	26.41	26.18
symb3master_346	14.50	15.89	16.21	16.93
symb3master_347	58.73	59.26	56.98	59.91
symb3master_348	15.44	13.48	13.97	13.02
symb3master_349	4.57	4.20	3.99	3.68
symb3master_350	8.96	8.35	9.15	9.75
symb3master_351	438.48	430.50	416.06	423.59
symb3master_352	197.73	202.81	215.89	214.90
symb3master_353	229.45	215.51	235.80	231.53
symb3master_354	7.50	7.19	7.99	8.30
symb3master_355	25.42	26.01	26.19	27.04
symb3master_356	13.60	13.71	12.77	14.02
symb3master_357	4.93	5.58	5.07	5.10
symb3master_358	16.53	16.95	15.37	16.63
symb3master_359	12.66	11.08	10.89	8.97
symb3master_360	10.66	12.27	11.61	10.93
symb3master_361	496.74	430.14	551.14	701.72
symb3master_362	35.19	32.86	32.42	31.20
symb3master_363	1.97	1.83	1.37	1.69
symb3master_364	18.70	17.94	16.93	17.44
symb3master_365	20.27	21.38	21.40	20.95
symb3master_366	41.35	40.29	36.83	35.31
symb3master_367	8.54	10.46	11.60	10.33
symb3master_368	13.87	12.63	10.99	11.02
symb3master_369	16.51	17.27	18.76	19.16
symb3master_370	22.65	25.92	23.10	24.21
symb3master_371	15.11	14.94	14.63	12.96
symb3master_372	9.78	10.00	9.78	9.66
symb3master_373	22.63	25.15	24.58	24.34
symb3master_374	64.36	61.28	64.96	62.73
symb3master_375	56.37	56.27	56.79	56.69
symb3master_376	34.23	34.77	37.27	37.14
symb3master_377	27.98	27.08	26.16	25.36
symb3master_378	20.46	21.29	21.11	20.81
symb3master_379	27.66	26.79	23.41	23.89
symb3master_380	29.69	29.69	27.29	27.42
symb3master_381	170.72	170.30	161.41	161.65
symb3master_382	128.12	124.78	119.87	121.63
symb3master_383	147.84	157.73	158.92	153.28
symb3master_384	15.05	14.79	15.25	15.36
symb3master_385	13.84	13.75	11.48	12.11
symb3master_386	18.30	17.90	16.91	16.67
symb3master_387	19.51	19.54	19.93	18.44
symb3master_388	15.27	16.85	14.32	14.09
symb3master_389	99.81	95.67	78.29	77.65
symb3master_390	15.13	16.14	14.71	14.06
symb3master_391	23.90	23.21	23.64	24.00
symb3master_392	13.76	13.87	13.31	11.76
symb3master_393	84.83	90.22	93.14	93.21
symb3master_394	37.74	36.51	36.64	37.40
symb3master_395	1.10	1.09	1.26	1.58
symb3master_396	25.30	24.13	25.28	26.39
symb3master_397	3.36	2.56	2.84	2.93
symb3master_398	34.27	36.49	38.06	37.94
symb3master_399	18.06	17.87	16.03	15.99
symb3master_400	21.66	18.50	21.51	21.40
symb3master_401	28.03	28.33	27.59	25.39
symb3master_402	39.49	39.58	39.83	41.38
symb3master_403	18.24	18.13	18.22	18.46
symb3master_404	24.02	22.64	22.80	21.72
symb3master_405	6.97	6.61	5.83	6.59
symb3master_406	32.16	29.97	30.41	31.72
symb3master_407	19.76	17.78	17.14	16.75
symb3master_408	30.30	29.39	30.08	31.13
symb3master_409	5.63	5.63	5.84	5.38
symb3master_410	28.99	29.60	27.28	28.32
symb3master_411	62.62	59.22	59.86	57.10
symb3master_412	0.00	0.00	0.00	0.00
symb3master_413	3.36	3.01	3.29	2.91
symb3master_414	40.84	40.19	39.32	37.79
symb3master_415	29.05	28.91	27.07	27.77
symb3master_416	44.50	43.65	44.52	42.47
symb3master_417	5.42	5.86	5.67	5.51
symb3master_418	11.73	11.77	10.94	11.43
symb3master_419	15.99	15.35	17.42	16.83
symb3master_420	16.18	16.38	16.03	16.66
symb3master_421	26.48	25.94	24.38	26.65
symb3master_422	4.43	4.88	5.18	4.86
symb3master_423	12.42	13.83	12.68	12.91
symb3master_424	18.97	18.42	18.15	18.10
symb3master_425	35.21	32.40	31.63	33.11
symb3master_426	51.67	47.97	39.11	44.43
symb3master_427	15.05	15.85	15.12	15.10
symb3master_428	44.73	39.83	34.33	36.96
symb3master_429	0.23	0.07	0.30	0.00
symb3master_430	10.13	10.01	9.36	10.44
symb3master_431	21.56	21.37	24.38	26.23
symb3master_432	12.01	12.11	12.14	12.10
symb3master_433	132.72	136.54	118.42	114.89
symb3master_434	19.77	20.98	21.54	20.91
symb3master_435	14.30	15.24	14.21	14.25
symb3master_437	25.71	26.80	28.72	28.49
symb3master_438	26.60	25.57	25.16	26.28
symb3master_439	34.47	35.12	34.29	33.49
symb3master_440	40.67	39.26	38.58	39.32
symb3master_441	4.38	3.62	3.73	4.21
symb3master_442	18.33	18.73	19.93	19.04
symb3master_443	4.92	5.05	3.92	4.42
symb3master_444	16.00	18.31	17.97	17.12
symb3master_445	18.51	18.56	16.99	16.99
symb3master_446	15.69	15.64	16.06	15.69
symb3master_447	1.98	1.89	2.13	2.26
symb3master_448	13.86	14.43	15.07	15.36
symb3master_449	11.10	11.39	11.36	11.22
symb3master_450	50.53	52.21	54.69	53.03
symb3master_451	17.15	17.72	17.19	16.81
symb3master_452	14.70	15.46	13.76	13.24
symb3master_453	16.46	14.42	14.14	14.89
symb3master_454	2.13	2.12	2.08	1.77
symb3master_455	74.27	70.58	77.90	80.98
symb3master_456	20.83	20.90	21.51	19.91
symb3master_457	20.07	20.97	20.48	19.18
symb3master_458	9.98	10.58	11.28	10.51
symb3master_459	28.37	27.38	26.95	27.59
symb3master_460	41.10	39.06	40.46	39.29
symb3master_461	35.07	34.34	34.00	33.20
symb3master_462	22.94	24.29	22.10	22.47
symb3master_463	11.70	13.80	12.28	11.56
symb3master_464	371.50	327.26	430.78	438.88
symb3master_466	22.62	21.30	19.85	20.09
symb3master_467	52.43	49.71	47.67	49.78
symb3master_468	2.72	2.87	2.85	2.99
symb3master_469	24.17	24.62	24.89	24.59
symb3master_470	11.02	10.13	8.75	9.13
symb3master_471	167.43	152.35	163.41	157.89
symb3master_472	29.68	30.59	28.77	29.28
symb3master_473	8.84	10.99	10.00	9.53
symb3master_474	8.89	9.63	8.76	8.75
symb3master_475	11.41	10.53	10.24	10.71
symb3master_476	29.09	31.92	31.62	32.40
symb3master_477	5.45	4.92	4.45	4.14
symb3master_478	48.29	47.15	49.27	50.44
symb3master_479	1.48	1.55	1.38	1.17
symb3master_480	13.57	16.48	16.74	16.20
symb3master_481	9.28	10.31	10.04	9.91
symb3master_482	8.28	8.19	8.15	8.21
symb3master_483	9.60	7.57	7.27	5.42
symb3master_484	25.93	26.51	28.45	28.75
symb3master_485	32.80	31.57	31.78	32.54
symb3master_486	29.88	29.50	27.31	27.92
symb3master_487	53.17	52.76	54.08	54.84
symb3master_488	80.34	73.19	83.12	86.63
symb3master_489	235.43	241.38	223.34	223.36
symb3master_490	8.11	9.16	8.24	8.06
symb3master_491	119.82	119.08	124.95	127.45
symb3master_492	4.70	4.68	4.78	4.29
symb3master_493	1.61	1.72	2.20	1.51
symb3master_494	2.39	2.08	2.28	2.29
symb3master_495	14.02	13.25	13.38	13.23
symb3master_496	14.85	15.04	15.01	15.07
symb3master_497	5.30	7.76	6.68	5.68
symb3master_498	2.97	3.53	3.41	3.45
symb3master_499	9.56	10.36	10.49	10.30
symb3master_500	241.37	230.09	221.01	214.31
symb3master_501	10.04	9.49	9.91	8.78
symb3master_502	20.76	22.29	22.03	22.38
symb3master_503	94.07	88.25	89.70	92.78
symb3master_504	11.11	12.96	13.56	12.46
symb3master_505	17.89	19.45	19.30	18.28
symb3master_506	9.31	10.20	9.70	8.97
symb3master_507	18.08	19.37	17.32	17.08
symb3master_508	12.09	11.39	10.95	11.20
symb3master_509	13.96	14.14	15.03	14.08
symb3master_510	7.78	7.83	8.56	7.52
symb3master_511	16.94	16.67	15.84	18.81
symb3master_512	0.70	0.58	0.44	0.52
symb3master_513	15.32	15.32	14.92	14.45
symb3master_514	11.43	12.34	11.59	10.81
symb3master_515	89.96	104.03	96.73	99.45
symb3master_516	9.38	9.56	9.77	8.51
symb3master_517	26.29	25.38	25.68	27.07
symb3master_518	23.12	22.31	24.76	25.13
symb3master_519	6.36	5.84	5.97	6.69
symb3master_521	1.34	1.63	2.17	1.83
symb3master_522	11.58	11.35	10.28	10.56
symb3master_523	19.34	20.78	20.15	18.68
symb3master_524	21.25	21.55	19.84	20.11
symb3master_525	7.26	5.97	7.48	8.10
symb3master_526	6.76	5.27	6.60	6.23
symb3master_527	35.11	35.58	37.67	37.06
symb3master_528	27.46	26.93	24.09	23.68
symb3master_529	3.71	3.68	3.58	4.55
symb3master_530	3.38	3.37	3.46	3.68
symb3master_531	25.13	23.58	22.12	21.21
symb3master_532	6.60	6.96	6.25	6.49
symb3master_533	9.92	10.96	10.47	10.20
symb3master_534	24.01	26.09	23.82	22.90
symb3master_535	209.74	202.24	189.99	180.58
symb3master_536	25.68	24.47	23.99	24.31
symb3master_537	11.89	12.03	11.67	12.14
symb3master_538	25.24	25.53	23.79	24.82
symb3master_539	21.38	21.35	19.22	19.93
symb3master_540	10.30	11.04	10.09	9.94
symb3master_541	17.99	18.93	17.77	18.88
symb3master_543	10.78	11.92	10.09	7.62
symb3master_544	19.34	20.79	19.94	19.39
symb3master_545	21.83	22.07	20.90	21.30
symb3master_546	13.06	13.30	12.01	10.15
symb3master_547	64.12	63.18	61.03	61.31
symb3master_548	13.66	15.57	15.86	13.72
symb3master_549	13.70	13.75	14.95	14.37
symb3master_550	27.16	25.49	25.28	24.88
symb3master_551	9.71	7.79	9.17	7.71
symb3master_552	23.99	24.31	23.29	22.67
symb3master_553	13.27	13.47	12.82	13.03
symb3master_554	48.13	46.63	51.81	54.58
symb3master_555	43.97	43.80	42.74	41.10
symb3master_556	16.65	16.32	16.39	16.68
symb3master_557	7.41	7.08	7.12	6.85
symb3master_558	9.47	9.59	9.90	9.85
symb3master_559	16.72	18.77	17.18	17.24
symb3master_560	11.63	11.70	10.65	10.90
symb3master_561	29.69	31.39	29.55	28.65
symb3master_562	14.76	14.30	15.22	13.21
symb3master_563	86.79	78.99	84.69	83.25
symb3master_564	48.03	46.72	46.12	46.71
symb3master_566	47.57	48.23	55.44	54.17
symb3master_567	11.30	12.25	13.43	12.47
symb3master_568	43.02	44.09	41.49	42.76
symb3master_569	28.71	27.70	25.67	25.77
symb3master_570	20.40	20.78	19.59	20.97
symb3master_571	3.04	3.17	4.35	3.67
symb3master_572	11.66	11.68	11.40	12.11
symb3master_573	27.44	24.93	24.56	23.26
symb3master_574	11.60	10.30	12.05	11.07
symb3master_575	60.10	62.25	62.27	60.87
symb3master_576	25.52	28.33	28.19	27.88
symb3master_577	55.35	51.37	50.99	54.46
symb3master_578	30.16	29.59	26.89	25.86
symb3master_579	11.08	11.44	10.21	11.36
symb3master_580	103.06	99.12	95.06	94.03
symb3master_581	88.59	88.20	84.99	89.11
symb3master_582	14.78	14.61	14.90	15.19
symb3master_583	22.28	22.93	24.97	24.55
symb3master_584	24.36	23.96	21.85	22.19
symb3master_585	67.60	68.02	65.69	67.24
symb3master_586	14.01	16.18	15.12	14.25
symb3master_587	16.15	17.71	14.90	13.86
symb3master_588	27.89	25.96	22.83	23.63
symb3master_589	107.90	99.21	97.97	91.67
symb3master_590	19.80	21.58	20.66	20.20
symb3master_591	20.01	20.70	17.39	17.74
symb3master_592	3.35	3.07	3.12	3.15
symb3master_593	15.78	17.14	15.64	15.63
symb3master_594	2.06	1.76	1.78	1.90
symb3master_595	46.70	42.82	47.36	49.30
symb3master_596	20.40	19.07	19.82	19.51
symb3master_597	21.68	22.22	21.13	21.66
symb3master_598	102.96	97.01	96.44	100.02
symb3master_599	23.25	22.33	20.83	19.93
symb3master_600	34.43	34.44	33.69	35.42
symb3master_601	23.23	23.36	23.83	27.53
symb3master_602	8.14	7.78	6.60	7.74
symb3master_603	20.26	20.96	19.80	20.72
symb3master_604	4.89	5.19	4.57	4.59
symb3master_605	1.09	1.07	1.16	1.03
symb3master_606	119.48	117.47	120.48	120.90
symb3master_607	12.84	12.98	12.85	12.72
symb3master_608	11.21	10.58	10.39	9.58
symb3master_609	4.73	4.97	4.91	5.31
symb3master_610	37.54	39.08	38.17	36.39
symb3master_611	13.39	12.51	12.98	12.60
symb3master_612	0.00	0.13	0.31	0.70
