Symbol	h24u0hetero	h24u10hetero	h24u100hetero	h24u500hetero
symb3master_14198	26.08	27.06	28.06	28.03
symb3master_14199	10.02	10.14	9.94	9.97
symb3master_14200	15.65	14.29	13.45	13.72
symb3master_14201	2.38	2.00	2.49	2.28
symb3master_14202	2.84	2.22	2.17	2.30
symb3master_14203	14.86	11.04	11.05	12.17
symb3master_14204	9.93	7.29	6.58	9.67
symb3master_14205	4.49	4.73	4.10	4.57
symb3master_14206	21.98	22.11	22.05	22.95
symb3master_14207	7.93	7.72	7.67	8.68
symb3master_14208	9.94	11.19	11.23	9.70
symb3master_14209	3.02	2.23	2.41	2.31
symb3master_14210	12.94	9.72	9.86	10.15
symb3master_14211	13.35	14.16	13.19	13.20
symb3master_14212	7.86	6.12	8.30	7.04
symb3master_14213	26.20	21.72	20.84	23.88
symb3master_14214	26.30	23.56	20.98	22.37
symb3master_14215	10.03	11.71	11.99	10.89
symb3master_14216	9.49	8.71	8.11	8.86
symb3master_14217	1.41	1.16	1.10	1.26
symb3master_14218	2.44	1.95	1.64	2.47
symb3master_14219	35.59	35.56	33.37	37.61
symb3master_14220	10.68	8.40	7.95	8.82
symb3master_14221	16.03	15.62	15.18	16.38
symb3master_14223	3.88	2.43	2.58	2.77
symb3master_14224	21.68	13.29	14.19	19.03
symb3master_14225	0.65	0.22	0.66	0.84
symb3master_14226	1.18	0.91	0.73	1.50
symb3master_14227	2.26	1.98	1.94	2.15
symb3master_14228	9.21	5.93	6.95	7.32
symb3master_14229	13.47	12.95	11.98	12.81
symb3master_14230	20.25	23.97	24.30	26.07
symb3master_14231	12.26	14.17	15.54	13.82
symb3master_14232	0.18	0.37	0.10	0.12
symb3master_14233	82.40	68.78	67.73	75.82
symb3master_14234	6.97	6.01	5.90	6.11
symb3master_14235	8.91	8.54	8.07	6.96
symb3master_14236	2.82	5.86	8.78	8.91
symb3master_14237	7.44	9.80	8.98	9.33
symb3master_14238	5.87	5.17	4.61	4.82
symb3master_14239	2.53	2.31	2.42	3.01
symb3master_14240	0.07	0.51	0.47	0.36
symb3master_14241	3.41	2.41	2.10	2.79
symb3master_14242	6.09	10.23	11.76	7.76
symb3master_14243	4.56	4.17	4.00	5.02
symb3master_14244	14.89	12.11	14.91	14.89
symb3master_14245	8.16	4.98	5.99	8.97
symb3master_14246	17.58	12.85	12.60	15.07
symb3master_14247	17.56	16.44	16.95	18.47
symb3master_14248	12.39	10.67	10.29	11.56
symb3master_14249	16.95	20.78	17.82	15.60
symb3master_14250	4.35	2.87	3.03	3.42
symb3master_14251	0.50	0.65	0.62	0.55
symb3master_14252	4.82	3.42	3.64	4.27
symb3master_14253	4.34	3.35	2.95	3.44
symb3master_14254	8.19	10.40	11.51	10.12
symb3master_14255	62.25	51.89	48.48	59.29
symb3master_14257	16.11	18.80	17.01	16.91
symb3master_14258	7.62	9.01	10.86	8.89
symb3master_14259	8.22	8.82	9.03	8.41
symb3master_14260	9.95	7.48	8.73	10.27
symb3master_14261	2.62	2.50	2.07	2.95
symb3master_14262	3.19	2.34	3.54	3.37
symb3master_14263	6.00	4.06	4.30	4.64
symb3master_14264	18.90	14.67	18.36	19.47
symb3master_14265	8.98	7.22	7.10	9.00
symb3master_14266	13.46	11.10	10.22	11.27
symb3master_14267	2.72	1.89	2.37	3.00
symb3master_14268	10.50	11.27	10.84	10.64
symb3master_14269	4.96	4.56	4.11	4.83
symb3master_14270	7.29	5.09	4.74	5.47
symb3master_14271	19.26	21.69	22.31	23.33
symb3master_14272	7.81	6.45	7.12	7.40
symb3master_14273	30.13	30.79	31.09	30.82
symb3master_14274	3.40	2.62	2.74	3.27
symb3master_14275	2.82	1.76	1.57	2.47
symb3master_14276	1.54	4.38	3.92	2.90
symb3master_14277	16.02	8.87	11.16	12.34
symb3master_14278	10.39	10.11	8.78	8.08
symb3master_14279	9.20	4.59	5.72	7.58
symb3master_14280	11.98	10.77	11.07	12.07
symb3master_14281	5.10	4.78	4.65	5.99
symb3master_14282	9.88	8.53	7.68	8.59
symb3master_14283	19.59	14.89	14.23	16.33
symb3master_14284	29.39	19.60	19.44	19.45
symb3master_14285	1.83	1.87	1.90	2.35
symb3master_14286	8.38	8.92	9.74	8.59
symb3master_14287	7.73	6.83	8.26	7.55
symb3master_14288	15.92	21.22	19.09	18.45
symb3master_14289	16.96	16.79	18.04	17.67
symb3master_14290	4.91	3.85	3.97	4.39
symb3master_14291	14.32	10.68	9.64	11.91
symb3master_14292	19.35	17.53	17.57	17.58
symb3master_14293	8.39	7.54	8.17	7.89
symb3master_14294	2.12	2.29	2.10	2.18
symb3master_14295	12.73	13.69	14.38	14.02
symb3master_14296	4.05	3.89	3.91	3.65
symb3master_14297	15.14	12.76	13.29	14.70
symb3master_14298	23.72	24.10	23.28	23.91
symb3master_14299	1.61	1.98	1.87	2.03
symb3master_14300	2.49	2.94	2.63	3.10
symb3master_14301	3.87	2.57	3.18	4.48
symb3master_14302	17.69	14.20	12.58	12.79
symb3master_14303	3.79	4.50	4.70	5.05
symb3master_14304	3.88	3.37	4.17	4.37
symb3master_14305	7.11	4.19	4.25	5.08
symb3master_14306	2.63	2.44	2.22	2.66
symb3master_14307	8.45	6.85	5.09	6.80
symb3master_14308	6.88	6.01	6.83	6.64
symb3master_14309	12.18	12.15	11.61	14.07
symb3master_14310	22.66	26.26	22.99	17.92
symb3master_14311	11.20	11.21	10.89	9.43
symb3master_14312	6.99	4.78	4.93	5.94
symb3master_14313	14.68	20.24	15.90	15.36
symb3master_14314	7.78	5.86	5.14	6.50
symb3master_14315	21.19	23.85	24.76	23.27
symb3master_14316	13.11	17.63	15.63	14.13
symb3master_14317	2.04	2.78	3.07	2.13
symb3master_14318	5.32	4.26	4.43	5.23
symb3master_14319	16.72	17.76	17.46	18.44
symb3master_14320	3.59	3.65	3.60	3.94
symb3master_14321	9.16	10.46	12.78	11.21
symb3master_14322	12.27	14.03	15.71	15.28
symb3master_14323	9.07	8.10	9.52	9.34
symb3master_14324	7.93	7.44	6.71	6.41
symb3master_14325	5.92	4.05	4.32	5.45
symb3master_14326	10.31	6.72	6.62	9.34
symb3master_14327	11.79	13.78	11.58	9.75
symb3master_14328	2.62	1.95	2.41	2.84
symb3master_14329	3.15	2.70	3.46	3.25
symb3master_14330	6.64	4.97	5.26	6.55
symb3master_14331	8.36	7.05	6.86	8.03
symb3master_14332	13.11	10.98	11.43	12.37
symb3master_14333	11.35	7.47	6.84	7.90
symb3master_14334	19.80	12.14	14.63	15.77
symb3master_14335	11.65	8.87	9.01	8.17
symb3master_14336	0.78	0.90	1.20	1.22
symb3master_14337	3.81	5.24	1.99	3.26
symb3master_14338	3.00	2.42	3.05	3.48
symb3master_14339	4.85	5.40	5.62	6.19
symb3master_14340	10.85	9.75	9.12	9.84
symb3master_14341	27.92	22.46	22.76	21.31
symb3master_14342	26.15	36.09	33.88	31.75
symb3master_14343	2.34	2.34	3.37	3.80
symb3master_14344	11.77	16.38	16.62	14.13
symb3master_14345	0.16	1.15	0.67	0.38
symb3master_14346	0.44	1.36	1.37	0.96
symb3master_14347	4.64	3.43	3.00	3.09
symb3master_14348	1.83	1.56	1.54	1.38
symb3master_14349	3.02	2.66	2.96	3.26
symb3master_14350	7.62	4.88	5.96	8.57
symb3master_14351	2.50	3.28	4.39	5.17
symb3master_14352	7.43	8.01	8.82	7.95
symb3master_14353	19.17	13.95	16.28	15.40
symb3master_14354	7.16	6.28	6.48	7.07
symb3master_14355	2.49	1.92	1.83	3.02
symb3master_14356	2.21	1.90	1.66	2.05
symb3master_14357	4.21	3.40	3.58	3.39
symb3master_14358	13.16	9.65	10.62	12.96
symb3master_14359	13.27	10.09	10.22	12.50
symb3master_14360	2.78	3.68	3.43	2.69
symb3master_14361	1.08	1.44	1.41	1.33
symb3master_14362	1.47	1.80	1.45	1.71
symb3master_14363	8.90	6.61	6.95	7.62
symb3master_14364	5.37	5.96	7.00	5.96
symb3master_14365	31.52	33.24	24.18	16.17
symb3master_14366	2.89	1.41	2.29	2.19
symb3master_14367	23.62	19.96	19.13	21.34
symb3master_14368	9.29	10.32	10.79	8.70
symb3master_14369	8.66	9.84	9.74	9.74
symb3master_14370	5.31	8.32	6.73	7.28
symb3master_14371	19.87	20.82	20.90	22.27
symb3master_14372	1.54	1.83	1.90	2.04
symb3master_14373	3.70	3.75	3.46	4.42
symb3master_14374	1.14	1.01	1.06	1.27
symb3master_14375	6.17	6.51	5.50	6.22
symb3master_14376	11.60	9.19	10.20	10.70
symb3master_14377	14.61	13.73	13.67	15.13
symb3master_14378	14.62	18.23	18.07	16.87
symb3master_14379	9.32	8.16	6.87	7.18
symb3master_14380	9.13	10.71	11.31	9.67
symb3master_14381	13.36	12.26	11.59	12.75
symb3master_14382	22.90	19.66	20.77	19.99
symb3master_14383	3.15	3.10	2.14	3.98
symb3master_14384	1.48	1.58	1.99	2.53
symb3master_14385	11.38	11.33	11.46	13.26
symb3master_14386	1.63	2.03	2.24	2.52
symb3master_14387	3.21	3.79	3.73	3.95
symb3master_14388	2.55	2.43	2.45	2.49
symb3master_14389	10.16	10.88	9.43	9.98
symb3master_14390	4.15	3.07	2.78	2.82
symb3master_14391	5.97	3.12	3.33	3.87
symb3master_14392	0.91	1.27	1.42	2.02
symb3master_14393	0.64	1.00	1.08	1.27
symb3master_14394	4.01	3.96	3.58	3.97
symb3master_14395	7.44	8.29	8.05	7.55
symb3master_14396	7.02	7.41	7.82	7.36
symb3master_14397	2.36	3.03	2.69	2.69
symb3master_14398	4.79	3.76	4.70	5.34
symb3master_14399	23.31	20.99	18.16	19.13
symb3master_14400	36.20	42.33	44.17	42.16
symb3master_14401	12.02	13.05	12.03	10.35
symb3master_14402	7.31	6.53	6.67	6.40
symb3master_14403	16.37	17.08	16.47	16.76
symb3master_14404	7.51	7.10	6.35	7.42
symb3master_14405	27.49	30.26	29.47	26.71
symb3master_14406	19.93	15.26	15.67	16.07
symb3master_14407	7.61	6.34	5.22	5.53
symb3master_14408	0.39	0.61	1.11	1.01
symb3master_14409	5.72	6.00	4.80	5.82
symb3master_14410	4.39	2.72	3.46	4.29
symb3master_14411	4.20	3.14	3.57	4.20
symb3master_14412	0.00	0.09	0.50	0.45
symb3master_14413	5.47	3.88	3.43	4.70
symb3master_14414	8.44	8.23	7.65	7.94
symb3master_14415	5.41	4.79	3.92	3.97
symb3master_14416	2.84	2.28	2.10	2.12
symb3master_14417	10.27	8.42	9.69	10.76
symb3master_14418	2.51	2.42	2.56	3.13
symb3master_14419	27.12	27.96	25.82	23.31
symb3master_14420	14.89	13.58	14.02	14.89
symb3master_14421	17.03	22.68	15.24	16.52
symb3master_14422	1.52	1.18	1.64	1.88
symb3master_14423	2.25	2.33	2.09	3.02
symb3master_14424	11.63	6.77	8.11	11.04
symb3master_14425	6.36	9.05	7.44	7.78
symb3master_14426	4.74	4.09	4.99	5.11
symb3master_14427	9.92	7.65	7.28	7.33
symb3master_14428	12.55	12.38	13.46	12.98
symb3master_14429	15.67	19.78	20.23	15.32
symb3master_14430	18.35	21.34	18.87	16.82
symb3master_14431	1.55	1.67	1.88	1.67
symb3master_14432	12.51	10.88	11.54	12.69
symb3master_14433	1.71	1.83	1.73	1.91
symb3master_14434	22.08	19.94	20.22	23.82
symb3master_14435	17.48	19.15	17.11	15.36
symb3master_14436	8.51	8.32	6.30	6.77
symb3master_14437	10.11	11.08	11.45	11.38
symb3master_14438	20.28	20.10	18.82	20.35
symb3master_14439	0.52	1.35	1.32	1.17
symb3master_14440	4.73	2.89	3.43	4.75
symb3master_14441	4.07	4.68	4.24	5.02
symb3master_14442	5.40	7.60	9.70	7.40
symb3master_14443	4.68	3.67	4.32	4.66
symb3master_14444	22.72	20.85	22.42	22.74
symb3master_14445	9.53	9.65	10.70	8.81
symb3master_14446	9.36	9.95	9.09	8.99
symb3master_14447	1.82	2.97	3.42	3.54
symb3master_14448	0.00	0.00	0.25	0.00
symb3master_14449	13.79	12.15	11.27	12.93
symb3master_14450	6.79	8.34	7.76	7.34
symb3master_14451	2.43	3.03	3.09	3.51
symb3master_14452	8.24	10.04	11.06	10.28
symb3master_14453	1.12	1.96	2.26	2.34
symb3master_14454	12.53	10.06	10.17	11.39
symb3master_14455	23.47	24.34	24.48	23.43
symb3master_14456	18.88	16.20	15.72	19.29
symb3master_14457	0.99	1.59	1.60	1.35
symb3master_14458	10.16	8.56	8.93	9.93
symb3master_14459	9.93	11.95	11.24	10.98
symb3master_14460	4.44	5.19	5.12	6.15
symb3master_14461	15.65	16.76	16.41	18.20
symb3master_14462	29.27	22.50	27.32	26.21
symb3master_14463	10.81	10.22	7.40	10.99
symb3master_14464	7.68	7.69	7.19	7.87
symb3master_14465	4.24	3.04	3.35	4.76
symb3master_14466	17.54	16.39	15.60	14.90
symb3master_14467	3.30	2.74	3.66	3.79
symb3master_14468	21.10	16.20	17.57	19.46
symb3master_14469	6.15	3.94	3.93	4.61
symb3master_14470	6.93	7.01	7.51	7.65
symb3master_14471	12.64	12.54	11.67	9.26
symb3master_14472	9.14	6.85	8.36	8.27
symb3master_14473	6.39	5.85	5.01	5.23
symb3master_14474	7.02	6.72	6.80	7.27
symb3master_14475	3.49	5.11	3.93	3.53
symb3master_14476	21.95	32.27	28.85	25.78
symb3master_14477	9.40	8.96	8.98	10.03
symb3master_14478	5.31	4.35	3.99	4.73
symb3master_14479	0.84	1.14	1.05	1.25
symb3master_14480	2.12	2.02	1.63	1.90
symb3master_14481	11.06	8.98	10.35	12.04
symb3master_14482	16.01	20.59	17.91	18.78
symb3master_14483	3.49	3.23	2.90	3.43
symb3master_14484	13.39	13.41	13.06	12.37
symb3master_14485	5.75	6.96	6.97	6.35
symb3master_14486	22.08	17.09	18.59	19.43
symb3master_14487	12.66	10.41	10.00	11.10
symb3master_14488	13.25	8.27	10.10	12.22
symb3master_14489	1.07	1.21	1.87	1.82
symb3master_14490	0.28	2.37	2.26	0.91
symb3master_14491	6.20	4.90	4.76	5.73
symb3master_14492	6.29	4.39	5.07	5.62
symb3master_14493	11.11	9.02	9.13	9.87
symb3master_14494	9.66	10.75	11.72	10.51
symb3master_14495	7.71	6.48	6.40	6.96
symb3master_14496	7.39	6.20	7.04	8.19
symb3master_14497	11.11	10.22	9.87	11.20
symb3master_14498	15.36	5.43	10.30	12.06
symb3master_14499	9.81	5.84	8.06	9.00
symb3master_14500	8.53	12.09	10.46	9.53
symb3master_14501	6.16	5.26	5.75	6.25
symb3master_14502	11.80	14.95	15.29	14.11
symb3master_14503	5.87	5.10	5.86	6.47
symb3master_14504	4.82	3.45	4.04	4.72
symb3master_14505	10.30	10.68	10.76	10.88
symb3master_14506	4.42	2.71	3.38	3.09
symb3master_14507	21.62	15.33	16.99	20.45
symb3master_14508	4.97	3.64	3.95	4.67
symb3master_14509	2.62	2.17	2.50	2.44
symb3master_14510	3.68	3.55	3.79	3.37
symb3master_14511	16.95	16.74	18.25	20.20
symb3master_14512	2.01	1.14	1.46	2.18
symb3master_14513	11.46	9.29	9.38	10.56
symb3master_14514	41.50	26.19	30.20	37.63
symb3master_14515	26.55	26.74	29.25	28.27
symb3master_14516	8.71	7.49	10.15	8.28
symb3master_14517	7.67	6.66	6.92	7.81
symb3master_14518	12.60	14.88	14.46	13.40
symb3master_14519	12.11	11.14	12.52	10.66
symb3master_14520	9.08	12.84	9.83	8.54
symb3master_14521	4.90	5.13	3.99	4.65
symb3master_14522	21.74	19.60	19.86	21.90
symb3master_14523	16.63	21.22	20.67	20.17
symb3master_14524	23.49	25.92	23.23	21.90
symb3master_14525	5.48	5.39	5.15	5.46
symb3master_14526	24.65	25.71	24.59	27.25
symb3master_14527	15.55	14.42	14.88	14.71
symb3master_14528	32.58	26.83	25.88	30.26
symb3master_14529	15.20	14.77	15.47	17.98
symb3master_14530	16.96	16.31	15.15	17.85
symb3master_14531	1.33	1.78	1.42	1.59
symb3master_14532	2.30	2.87	3.19	3.60
symb3master_14533	24.56	26.53	26.17	26.84
symb3master_14534	2.56	2.66	1.87	2.16
symb3master_14535	5.39	4.14	4.16	4.80
symb3master_14536	4.81	4.00	4.74	4.85
symb3master_14537	8.29	6.06	8.05	8.65
symb3master_14538	5.39	3.02	3.75	4.31
symb3master_14540	15.86	12.24	13.21	16.65
symb3master_14541	11.55	9.61	9.51	12.26
symb3master_14542	9.72	7.07	7.79	9.20
symb3master_14543	21.52	20.76	21.24	20.65
symb3master_14544	0.99	1.13	1.33	1.43
symb3master_14545	9.35	12.42	13.14	11.43
symb3master_14546	10.78	9.35	9.08	9.37
symb3master_14547	14.06	15.36	15.53	13.25
symb3master_14548	12.53	11.39	11.67	12.31
symb3master_14549	9.52	9.38	8.18	7.39
symb3master_14550	5.89	5.15	5.23	6.02
symb3master_14551	20.84	18.92	18.62	19.22
symb3master_14552	11.20	8.17	9.39	10.24
symb3master_14553	4.25	3.07	2.61	3.57
symb3master_14554	4.32	3.02	2.89	4.09
symb3master_14555	0.24	0.52	0.43	0.38
symb3master_14556	12.16	13.54	11.07	11.90
symb3master_14557	19.28	24.26	23.46	21.77
symb3master_14558	20.73	19.77	18.04	17.02
symb3master_14559	19.37	11.45	12.59	15.07
symb3master_14560	25.23	22.92	23.23	23.47
symb3master_14561	3.53	2.70	3.78	3.18
symb3master_14562	4.01	5.37	6.08	6.82
symb3master_14563	13.36	10.12	10.02	11.17
symb3master_14564	20.59	19.12	22.55	19.83
symb3master_14565	60.86	63.93	73.04	66.94
symb3master_14566	4.56	3.56	4.59	5.46
symb3master_14567	5.79	5.19	4.72	5.41
symb3master_14568	8.79	8.53	9.06	11.09
symb3master_14569	7.22	6.49	6.85	7.04
symb3master_14570	5.68	4.55	5.01	5.94
symb3master_14571	59.61	46.60	59.80	48.40
symb3master_14572	6.44	5.24	5.48	6.47
symb3master_14573	3.64	4.19	3.75	3.19
symb3master_14574	9.38	5.41	5.68	7.75
symb3master_14575	18.32	19.10	19.35	15.91
symb3master_14576	13.91	18.04	18.58	17.31
symb3master_14577	0.84	0.71	0.74	0.95
symb3master_14578	8.68	6.85	6.79	7.19
symb3master_14579	12.87	15.06	12.57	13.34
symb3master_14580	13.27	15.36	15.27	13.29
symb3master_14581	15.26	14.58	19.70	18.60
symb3master_14582	17.28	11.94	12.29	15.12
symb3master_14583	4.48	4.66	4.67	5.16
symb3master_14584	13.01	9.75	12.93	14.52
symb3master_14585	24.16	27.02	22.30	21.19
symb3master_14586	23.35	21.38	20.99	20.36
symb3master_14587	2.26	2.45	1.62	3.37
symb3master_14588	19.80	20.46	19.06	19.42
symb3master_14589	12.28	12.42	11.83	12.30
symb3master_14590	5.45	5.20	4.22	4.99
symb3master_14591	9.22	10.81	10.53	9.52
symb3master_14592	13.92	14.35	15.92	15.35
symb3master_14593	6.58	5.25	4.67	5.44
symb3master_14594	52.80	44.68	46.19	52.22
symb3master_14595	6.03	4.45	4.37	4.83
symb3master_14596	14.97	13.52	14.55	16.03
symb3master_14597	11.16	12.02	10.83	10.03
symb3master_14598	1.23	1.51	1.66	1.53
symb3master_14599	16.48	25.63	18.74	22.34
symb3master_14600	3.57	1.94	1.85	3.10
symb3master_14601	5.81	5.08	5.39	5.92
symb3master_14602	2.19	1.10	1.14	1.52
symb3master_14603	81.45	89.11	94.88	80.86
symb3master_14604	5.79	7.57	7.35	7.17
symb3master_14605	4.26	3.42	3.59	4.08
symb3master_14606	5.28	4.25	4.60	4.27
symb3master_14607	2.25	2.57	2.50	3.46
symb3master_14608	1.63	2.06	2.30	2.52
symb3master_14609	0.79	1.86	1.78	1.64
symb3master_14610	21.31	16.13	16.64	20.18
symb3master_14611	6.76	6.60	6.81	5.17
symb3master_14612	29.20	21.02	24.54	26.36
symb3master_14613	8.35	4.80	4.39	5.97
symb3master_14614	7.12	6.05	6.24	6.98
symb3master_14615	15.17	9.80	7.60	8.14
symb3master_14616	11.79	12.45	13.44	12.78
symb3master_14617	4.60	3.58	3.45	3.55
symb3master_14618	6.87	4.50	4.75	5.32
symb3master_14619	6.35	7.76	9.08	7.76
symb3master_14620	5.70	5.62	4.52	5.60
symb3master_14621	9.82	10.87	10.21	11.21
symb3master_14622	1.29	1.72	1.10	1.55
symb3master_14623	2.95	2.93	3.20	3.50
symb3master_14624	25.53	23.73	22.30	24.71
symb3master_14625	17.92	19.04	18.05	18.98
symb3master_14626	18.72	22.37	27.14	22.05
symb3master_14627	19.79	22.93	23.07	20.10
symb3master_14628	14.22	11.28	11.12	14.90
symb3master_14629	3.47	2.40	1.83	2.63
symb3master_14630	15.00	23.64	20.20	14.21
symb3master_14631	12.92	10.87	11.34	12.29
symb3master_14632	9.00	5.27	6.73	8.38
symb3master_14633	50.71	41.12	39.71	43.62
symb3master_14634	1.46	1.70	1.36	1.80
symb3master_14635	8.25	8.40	8.79	9.11
symb3master_14636	18.61	24.69	23.10	23.23
symb3master_14637	2.75	1.79	2.08	1.98
symb3master_14638	4.82	4.83	5.61	4.88
symb3master_14639	19.94	16.16	15.86	17.84
symb3master_14640	13.72	11.91	13.82	12.89
symb3master_14641	9.48	10.58	11.77	11.15
symb3master_14642	8.73	6.98	6.33	6.16
symb3master_14643	13.66	10.00	10.49	11.84
symb3master_14644	9.40	7.65	8.68	9.02
symb3master_14645	5.67	5.10	4.63	5.14
symb3master_14646	11.57	17.61	15.48	15.87
symb3master_14647	4.25	3.34	2.98	4.03
symb3master_14648	7.56	6.03	6.26	8.56
symb3master_14649	5.01	3.73	3.05	3.57
symb3master_14650	15.03	12.97	16.59	17.76
symb3master_14651	3.62	3.22	3.09	3.86
symb3master_14652	0.00	0.09	0.19	0.08
symb3master_14653	27.40	28.19	25.34	28.28
symb3master_14654	2.38	2.18	2.17	2.52
symb3master_14655	5.25	5.61	5.35	5.96
symb3master_14656	18.53	18.32	14.50	17.47
symb3master_14657	16.72	15.22	15.75	16.50
symb3master_14658	6.66	5.12	5.35	6.26
symb3master_14659	7.94	7.28	7.90	6.84
symb3master_14660	6.80	13.62	11.72	9.15
symb3master_14661	2.80	2.54	2.29	2.93
symb3master_14662	12.91	12.86	12.58	13.99
symb3master_14663	1.14	1.44	1.25	1.34
symb3master_14664	3.17	3.42	2.99	3.34
symb3master_14665	2.34	3.09	3.03	3.06
symb3master_14666	3.22	2.54	2.66	3.21
symb3master_14667	9.42	6.73	7.96	11.25
symb3master_14668	11.98	12.39	13.31	12.06
symb3master_14669	5.05	4.91	4.49	5.22
symb3master_14670	1.07	0.79	0.80	1.17
symb3master_14671	23.05	23.86	21.70	18.02
symb3master_14672	13.45	9.78	8.56	11.59
symb3master_14673	1.80	1.45	1.75	1.97
symb3master_14674	19.81	16.16	17.63	20.11
symb3master_14675	4.90	3.61	3.40	3.97
symb3master_14676	15.44	18.21	19.00	15.80
symb3master_14677	3.81	2.35	2.62	3.45
symb3master_14678	20.63	27.95	27.64	23.21
symb3master_14679	4.84	3.74	4.85	4.90
symb3master_14680	12.27	12.45	12.58	12.76
symb3master_14681	14.16	15.89	14.26	12.96
symb3master_14682	7.32	5.01	4.99	6.41
symb3master_14683	12.18	10.58	11.32	10.96
symb3master_14684	7.43	7.41	7.85	6.55
symb3master_14685	1.76	2.23	2.76	3.06
symb3master_14686	14.82	14.12	14.34	14.60
symb3master_14687	5.64	4.84	4.50	3.89
symb3master_14688	3.49	2.35	2.58	2.84
symb3master_14689	5.96	6.04	5.78	6.69
symb3master_14690	10.34	10.94	12.86	11.02
symb3master_14691	14.03	15.11	15.28	14.32
symb3master_14692	7.29	6.58	6.07	6.54
symb3master_14693	8.49	6.18	5.79	7.08
symb3master_14694	3.75	3.14	3.52	3.63
symb3master_14695	17.15	16.10	13.18	13.48
symb3master_14696	8.45	8.48	8.79	10.07
symb3master_14697	7.91	6.72	7.06	7.21
symb3master_14698	0.00	0.17	0.17	0.15
symb3master_14699	13.60	11.25	11.10	13.38
symb3master_14700	7.71	7.05	6.75	7.57
symb3master_14701	11.63	15.83	14.11	12.35
symb3master_14702	10.71	14.86	13.61	13.32
symb3master_14703	9.18	9.02	7.84	10.02
symb3master_14704	14.64	22.05	20.80	18.95
symb3master_14705	4.50	4.66	5.39	5.60
symb3master_14706	9.59	9.51	6.68	7.57
symb3master_14707	1.47	1.93	2.11	1.98
symb3master_14708	8.43	7.53	7.00	8.87
symb3master_14709	4.50	4.59	5.48	5.16
symb3master_14710	7.21	7.13	7.62	8.67
symb3master_14711	6.46	5.91	6.51	7.61
symb3master_14712	37.03	33.52	33.83	39.17
symb3master_14713	9.36	6.19	6.73	7.37
symb3master_14714	3.28	3.44	3.22	4.01
symb3master_14715	4.49	3.72	4.23	4.64
symb3master_14716	13.73	12.70	11.33	10.50
symb3master_14717	3.81	2.80	2.69	3.78
symb3master_14718	10.71	7.67	7.75	11.12
symb3master_14719	6.21	5.15	5.13	7.26
symb3master_14720	2.76	2.27	2.32	2.60
symb3master_14721	2.99	2.72	2.77	3.10
symb3master_14722	4.77	5.41	3.50	3.94
symb3master_14723	22.80	25.11	23.15	22.76
symb3master_14724	6.78	4.75	5.40	6.42
symb3master_14725	7.75	6.95	6.02	6.84
symb3master_14726	27.84	24.50	27.74	28.70
symb3master_14727	2.66	2.50	2.12	2.29
symb3master_14728	7.91	8.16	6.19	6.86
symb3master_14729	1.21	0.74	0.79	1.02
symb3master_14730	6.26	9.64	9.47	7.40
symb3master_14731	16.23	17.37	16.98	14.68
symb3master_14732	7.46	5.59	7.37	7.63
symb3master_14733	10.09	11.17	11.60	10.48
symb3master_14734	23.78	19.71	21.40	24.04
symb3master_14735	11.94	7.42	8.88	10.11
symb3master_14736	4.30	3.31	3.45	3.33
symb3master_14737	34.24	33.12	33.04	30.88
symb3master_14738	0.85	1.08	0.91	1.20
symb3master_14739	3.74	3.85	3.61	4.97
symb3master_14740	6.61	5.55	5.43	6.85
symb3master_14741	14.01	15.48	13.78	15.57
symb3master_14742	4.04	2.97	3.14	4.02
symb3master_14743	0.53	0.93	0.79	1.18
symb3master_14744	25.47	21.07	21.57	23.26
symb3master_14745	16.54	16.49	15.70	13.97
symb3master_14746	3.56	2.72	2.42	2.84
symb3master_14747	26.88	25.11	25.08	25.97
symb3master_14748	3.20	2.08	2.72	3.30
symb3master_14749	11.87	12.42	12.13	12.87
symb3master_14750	19.96	22.31	23.35	20.35
symb3master_14751	17.48	16.81	16.05	16.60
symb3master_14752	22.76	23.10	26.60	24.83
symb3master_14753	3.96	2.84	2.70	3.68
symb3master_14754	11.26	10.05	10.76	11.67
symb3master_14755	0.47	0.23	0.30	0.39
symb3master_14756	2.96	3.86	3.81	4.14
symb3master_14757	2.40	3.47	3.47	3.42
symb3master_14758	16.45	18.55	17.06	18.26
symb3master_14759	1.55	1.82	1.72	1.70
symb3master_14760	7.39	10.41	10.50	8.63
symb3master_14761	0.44	0.80	0.62	0.95
symb3master_14762	10.86	6.97	7.58	8.91
symb3master_14763	10.93	13.76	12.28	13.66
symb3master_14764	2.48	3.35	3.41	4.22
symb3master_14765	3.01	1.94	1.76	2.24
symb3master_14766	4.94	3.95	3.09	4.38
symb3master_14767	10.71	14.71	14.62	10.61
symb3master_14768	3.66	2.45	3.25	3.82
symb3master_14769	13.79	9.79	11.16	11.24
symb3master_14770	5.05	4.90	4.23	4.68
symb3master_14771	26.20	32.56	31.62	32.34
symb3master_14772	1.95	1.30	1.30	1.37
symb3master_14773	10.85	8.84	11.67	10.61
symb3master_14774	10.26	14.66	16.07	13.50
symb3master_14775	5.44	4.05	4.68	5.07
symb3master_14776	5.53	6.05	5.53	5.95
symb3master_14777	0.83	1.04	0.90	0.93
symb3master_14778	4.09	3.54	3.74	4.71
symb3master_14779	4.33	4.44	3.87	3.81
symb3master_14780	5.79	5.15	5.34	5.07
symb3master_14781	0.93	1.16	1.09	1.20
