Symbol	h1u0auto	h1u10auto	h1u100auto	h1u500auto
symb3master_139	90.13	90.78	84.61	89.08
symb3master_140	7.29	8.41	8.32	7.44
symb3master_141	12.14	10.99	11.41	11.02
symb3master_142	36.42	36.21	36.38	36.26
symb3master_143	14.70	16.52	14.25	12.00
symb3master_144	16.92	16.40	18.72	20.49
symb3master_145	28.15	29.21	28.25	28.00
symb3master_146	15.75	15.44	14.76	15.47
symb3master_147	35.80	32.65	33.83	32.96
symb3master_148	33.25	33.30	34.97	37.02
symb3master_149	25.52	25.10	25.32	26.50
symb3master_150	11.16	12.58	12.07	12.18
symb3master_151	17.05	17.29	16.72	19.84
symb3master_152	12.66	13.29	13.59	13.65
symb3master_153	22.02	21.13	18.53	17.88
symb3master_154	16.57	15.04	16.76	15.39
symb3master_155	23.87	25.41	24.66	22.25
symb3master_156	9.62	8.54	8.38	9.86
symb3master_157	33.57	34.77	35.24	31.90
symb3master_158	61.31	64.37	63.24	61.98
symb3master_159	35.26	35.81	36.43	35.28
symb3master_160	4.83	3.96	3.90	4.54
symb3master_161	16.61	14.23	15.12	14.01
symb3master_162	8.51	8.72	7.86	6.14
symb3master_163	7.86	7.86	7.36	6.98
symb3master_164	7.46	8.86	9.33	9.18
symb3master_165	29.77	27.37	27.67	23.60
symb3master_166	152.43	136.10	139.61	141.28
symb3master_167	6.08	5.87	6.49	6.57
symb3master_168	11.45	11.18	11.55	12.81
symb3master_169	51.48	49.78	54.43	51.18
symb3master_170	14.75	16.22	16.92	17.19
symb3master_171	3.77	5.45	5.19	5.04
symb3master_172	37.14	31.58	32.09	29.01
symb3master_173	6.53	6.73	6.61	6.04
symb3master_174	3.42	3.53	3.36	3.52
symb3master_175	4.36	5.43	4.87	4.96
symb3master_176	33.14	34.41	34.94	34.67
symb3master_177	24.53	21.90	23.91	20.50
symb3master_178	19.39	18.75	18.42	17.52
symb3master_179	42.36	35.10	34.53	29.41
symb3master_180	26.37	21.20	23.82	22.79
symb3master_181	14.49	15.17	14.48	12.80
symb3master_182	55.33	54.73	57.60	60.95
symb3master_183	16.60	16.80	15.81	16.40
symb3master_184	17.24	17.96	18.62	16.08
symb3master_185	8.41	9.62	10.25	7.88
symb3master_186	29.47	27.01	29.65	28.44
symb3master_187	23.78	21.42	20.55	20.51
symb3master_188	14.22	15.16	15.66	17.07
symb3master_189	10.64	13.19	12.11	11.02
symb3master_190	47.79	39.79	42.37	39.43
symb3master_191	20.92	16.43	16.59	16.05
symb3master_192	24.89	20.90	17.56	19.46
symb3master_193	27.90	27.89	27.05	28.54
symb3master_194	23.29	18.70	20.95	19.78
symb3master_195	20.26	20.37	20.23	23.27
symb3master_196	28.63	29.25	30.77	31.86
symb3master_197	10.42	9.72	9.81	11.90
symb3master_198	34.17	32.42	33.60	31.94
symb3master_199	4.65	5.99	5.66	4.80
symb3master_200	41.46	37.80	40.28	40.62
symb3master_201	7.08	7.14	5.73	6.14
symb3master_202	32.17	34.89	33.93	35.91
symb3master_203	21.65	20.57	20.55	17.92
symb3master_204	36.74	34.18	28.70	22.90
symb3master_205	35.81	38.59	39.75	41.62
symb3master_206	14.25	16.23	16.24	19.38
symb3master_207	39.49	42.79	42.04	40.63
symb3master_208	9.62	10.57	12.24	11.18
symb3master_209	34.22	33.91	32.19	32.33
symb3master_210	13.53	14.48	13.08	10.64
symb3master_211	10.36	10.20	9.65	8.75
symb3master_212	19.87	21.19	20.83	21.09
symb3master_213	11.04	11.19	11.97	12.99
symb3master_214	36.70	36.72	35.60	33.97
symb3master_215	13.35	12.72	14.36	15.21
symb3master_216	33.50	33.64	39.46	36.27
symb3master_217	10.37	9.95	10.43	10.59
symb3master_218	18.06	18.66	18.67	18.83
symb3master_219	21.83	20.00	20.69	20.03
symb3master_220	12.53	14.15	13.07	14.52
symb3master_221	15.74	15.52	16.55	13.99
symb3master_222	44.61	47.82	45.93	43.89
symb3master_223	10.54	10.51	10.07	8.62
symb3master_224	13.77	15.02	13.91	13.27
symb3master_225	9.86	8.07	8.14	4.45
symb3master_226	112.15	104.59	111.77	106.19
symb3master_227	12.76	13.77	15.46	14.37
symb3master_228	49.27	49.15	47.10	46.13
symb3master_229	7.75	10.02	9.32	8.22
symb3master_230	6.47	6.99	6.83	8.01
symb3master_231	20.60	18.83	21.05	21.07
symb3master_232	6.81	6.48	7.90	5.66
symb3master_233	51.46	40.04	37.12	33.16
symb3master_234	19.32	20.04	19.57	18.03
symb3master_235	7.70	6.51	6.73	6.38
symb3master_236	72.41	77.49	84.31	88.54
symb3master_237	9.99	10.25	10.21	10.29
symb3master_238	62.55	156.36	95.10	74.62
symb3master_239	9.27	8.26	8.91	9.36
symb3master_240	9.18	9.59	11.37	11.36
symb3master_241	7.09	7.95	8.80	7.78
symb3master_242	4.82	5.72	5.71	5.68
symb3master_243	17.87	18.54	17.59	16.27
symb3master_244	2.86	3.04	3.40	2.89
symb3master_245	31.86	31.35	32.60	31.56
symb3master_246	5.71	4.54	4.06	5.47
symb3master_247	86.52	85.03	87.72	81.85
symb3master_248	16.87	16.37	17.16	18.71
symb3master_249	24.97	24.19	23.09	24.27
symb3master_250	17.22	20.83	19.64	17.14
symb3master_251	202.30	202.11	186.76	154.94
symb3master_252	19.04	19.09	18.62	20.24
symb3master_253	36.08	36.59	36.81	37.37
symb3master_254	26.17	29.91	28.09	29.12
symb3master_255	1.24	1.27	1.46	1.15
symb3master_256	30.04	25.96	27.66	27.63
symb3master_257	49.03	42.45	38.50	34.79
symb3master_258	6.01	6.27	5.85	6.64
symb3master_259	13.12	12.93	12.84	14.94
symb3master_260	19.08	21.37	18.40	22.77
symb3master_261	18.95	18.11	20.47	17.16
symb3master_262	7.31	8.27	8.00	7.77
symb3master_263	20.80	21.72	23.51	18.68
symb3master_264	12.58	14.92	14.20	13.00
symb3master_265	26.24	26.36	23.40	24.52
symb3master_266	10.92	11.31	12.13	12.28
symb3master_267	33.98	33.18	32.67	39.14
symb3master_268	45.45	52.79	51.01	48.37
symb3master_269	48.79	52.24	48.82	56.92
symb3master_270	18.43	19.85	20.15	20.55
symb3master_271	14.37	13.37	14.60	15.90
symb3master_272	28.47	27.05	27.06	29.18
symb3master_273	14.29	14.92	16.53	16.34
symb3master_274	14.71	14.86	15.36	15.09
symb3master_275	14.26	14.64	13.81	14.69
symb3master_276	60.49	64.87	63.01	67.09
symb3master_277	1.44	1.56	1.56	0.99
symb3master_278	17.96	18.00	16.09	14.91
symb3master_279	3.09	2.63	2.25	2.85
symb3master_280	0.40	0.18	0.11	0.26
symb3master_281	1.60	1.66	1.79	1.84
symb3master_282	32.87	31.52	30.58	34.74
symb3master_283	25.35	24.03	25.60	27.66
symb3master_284	45.72	45.92	42.77	40.84
symb3master_285	9.23	8.49	7.85	8.95
symb3master_286	21.83	20.88	22.59	20.56
symb3master_288	315.47	337.49	334.91	373.43
symb3master_289	8.49	7.23	9.13	7.77
symb3master_290	11.39	13.11	12.96	12.47
symb3master_291	20.92	21.70	21.12	17.65
symb3master_292	5.62	5.91	5.94	5.22
symb3master_293	7.71	6.85	6.04	5.98
symb3master_294	8.95	9.79	9.81	9.26
symb3master_295	13.63	13.75	13.11	9.62
symb3master_296	25.17	23.25	24.97	24.95
symb3master_297	3.64	3.64	4.39	3.77
symb3master_298	93.21	85.56	78.13	68.56
symb3master_299	0.68	0.62	0.29	0.52
symb3master_300	11.80	11.75	11.99	12.76
symb3master_301	12.02	12.75	13.27	13.83
symb3master_302	31.98	35.49	35.75	38.68
symb3master_303	10.74	10.61	9.59	9.94
symb3master_304	7.01	7.64	7.56	8.07
symb3master_305	34.71	34.23	31.58	43.79
symb3master_306	9.25	8.68	8.87	7.79
symb3master_307	5.05	6.23	6.24	5.99
symb3master_308	49.95	55.96	51.27	53.40
symb3master_309	92.34	69.41	71.88	59.35
symb3master_310	197.14	217.50	217.34	229.20
symb3master_311	38.56	36.33	31.47	38.31
symb3master_312	14.18	15.01	16.08	16.97
symb3master_313	8.89	9.80	10.49	10.90
symb3master_314	11.49	14.02	14.21	15.35
symb3master_315	21.80	22.07	22.06	22.80
symb3master_316	22.42	25.08	25.41	26.01
symb3master_317	18.79	18.00	18.73	19.26
symb3master_318	6.38	8.29	7.26	6.99
symb3master_319	6.28	6.85	5.97	6.49
symb3master_320	7.38	8.28	7.52	7.40
symb3master_321	6.06	5.96	6.74	5.63
symb3master_322	24.12	23.69	24.31	24.39
symb3master_323	9.85	10.13	10.12	9.22
symb3master_324	30.26	29.94	30.51	31.70
symb3master_325	55.55	54.81	55.18	58.98
symb3master_326	394.74	321.34	297.66	270.50
symb3master_327	48.37	44.39	44.20	41.61
symb3master_328	7.67	7.72	8.59	8.29
symb3master_329	41.32	41.22	42.25	41.02
symb3master_330	75.40	72.55	70.25	68.11
symb3master_331	70.98	69.53	75.64	78.37
symb3master_332	9.92	10.89	10.75	11.49
symb3master_333	29.54	29.88	30.43	30.14
symb3master_334	17.07	17.05	16.97	15.12
symb3master_335	65.54	60.71	55.94	56.57
symb3master_336	11.98	11.10	11.33	10.64
symb3master_337	15.19	12.65	15.09	12.17
symb3master_338	11.67	15.65	15.15	13.06
symb3master_339	11.28	12.02	10.99	11.42
symb3master_340	467.45	449.67	458.17	477.97
symb3master_341	124.87	123.25	121.91	121.52
symb3master_342	70.40	59.66	67.18	60.45
symb3master_343	107.62	117.22	121.79	125.93
symb3master_344	18.57	20.87	21.86	21.11
symb3master_345	18.81	19.44	19.74	19.37
symb3master_346	9.91	7.45	9.19	9.90
symb3master_347	63.75	57.59	54.36	65.22
symb3master_348	28.38	25.27	24.26	24.11
symb3master_349	4.39	4.70	4.54	4.63
symb3master_350	9.47	8.71	9.43	8.55
symb3master_351	438.88	415.99	409.45	393.57
symb3master_352	162.95	181.86	182.12	185.69
symb3master_353	348.01	373.35	377.87	381.09
symb3master_354	7.45	8.27	9.33	7.67
symb3master_355	24.80	23.04	24.08	19.13
symb3master_356	12.72	15.75	15.45	15.15
symb3master_357	6.30	6.57	5.80	7.24
symb3master_358	22.24	24.39	24.08	24.00
symb3master_359	13.88	13.44	10.67	8.87
symb3master_360	10.98	10.91	11.49	11.32
symb3master_361	0.00	0.00	0.00	0.00
symb3master_362	32.77	33.44	31.35	29.05
symb3master_363	1.73	1.98	1.94	1.87
symb3master_364	18.51	20.60	18.50	17.69
symb3master_365	27.61	26.85	26.44	26.65
symb3master_366	45.79	40.17	40.33	38.26
symb3master_367	7.79	7.72	7.67	8.31
symb3master_368	14.56	13.44	12.46	11.36
symb3master_369	24.63	22.92	26.34	23.97
symb3master_370	20.85	20.48	19.22	23.34
symb3master_371	19.29	18.17	19.28	19.08
symb3master_372	8.69	8.89	9.94	9.37
symb3master_373	16.78	16.81	17.50	21.11
symb3master_374	91.79	77.23	70.34	65.81
symb3master_375	56.03	47.75	50.97	41.39
symb3master_376	31.29	30.83	31.56	32.06
symb3master_377	14.04	16.65	16.99	17.44
symb3master_378	22.84	22.29	23.12	24.22
symb3master_379	28.71	27.23	26.88	28.83
symb3master_380	33.50	33.21	32.32	33.85
symb3master_381	177.04	195.10	193.59	216.30
symb3master_382	154.09	169.18	177.10	176.04
symb3master_383	129.62	139.80	135.15	163.43
symb3master_384	16.25	16.55	17.29	17.96
symb3master_385	13.37	14.51	13.37	13.38
symb3master_386	18.21	19.36	18.36	20.76
symb3master_387	17.60	19.15	19.31	18.82
symb3master_388	14.27	14.10	15.14	16.15
symb3master_389	93.78	98.58	86.64	86.85
symb3master_390	10.26	9.95	9.94	11.70
symb3master_391	26.07	27.18	28.67	26.95
symb3master_392	11.31	13.61	14.13	12.84
symb3master_393	78.34	71.33	76.08	73.11
symb3master_394	37.07	37.71	35.97	37.07
symb3master_395	1.67	1.56	1.87	1.32
symb3master_396	32.97	31.18	31.57	29.74
symb3master_397	3.57	3.55	3.57	3.53
symb3master_398	29.76	30.44	30.14	32.37
symb3master_399	20.40	17.85	17.04	16.93
symb3master_400	32.42	27.96	28.69	23.42
symb3master_401	25.36	26.70	25.89	30.34
symb3master_402	35.12	33.48	35.13	36.39
symb3master_403	20.43	20.71	20.98	21.07
symb3master_404	24.59	24.81	23.55	25.75
symb3master_405	6.19	6.64	6.68	6.61
symb3master_406	26.11	28.28	28.12	25.91
symb3master_407	18.35	19.05	19.93	18.85
symb3master_408	24.70	23.41	21.81	22.12
symb3master_409	5.12	5.99	6.34	5.94
symb3master_410	24.49	26.10	27.53	27.46
symb3master_411	76.44	68.81	66.28	59.06
symb3master_412	0.00	0.00	0.00	0.00
symb3master_413	2.59	3.04	3.37	3.11
symb3master_414	41.34	43.06	39.48	38.88
symb3master_415	30.12	26.90	26.03	25.47
symb3master_416	50.20	45.08	39.14	37.55
symb3master_417	4.85	5.32	5.01	6.31
symb3master_418	11.79	12.85	12.96	13.73
symb3master_419	21.60	18.68	17.17	15.16
symb3master_420	15.30	17.33	15.66	16.32
symb3master_421	19.31	23.17	22.11	21.50
symb3master_422	5.31	5.17	5.38	5.01
symb3master_423	9.66	9.66	11.34	11.77
symb3master_424	26.87	21.90	21.83	21.30
symb3master_425	30.69	32.84	32.06	32.49
symb3master_426	43.84	39.10	41.10	50.37
symb3master_427	12.41	13.76	13.65	15.98
symb3master_428	35.03	32.90	35.63	39.44
